"Source:","C:\GitHubProjects\PGKB\PCB\Rev 02.00\000018 PGKB\000018 PGKB.kicad_sch"
"Date:","24/01/2024 22.51.38"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","147"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Code","DNP","MFG_PartNo","Manufacturer","Price","Sim.Enable","Supplier","Supplier_PartNo","Value"
"","","C23","1u","KD_Capacitor:C_0805_1u_X7R_25V","KD_Capacitor:CAPC2012X135N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf","1u","F","CL21B105KAFNNNE","Samsung Electro-Mechanics","0.03","","Digi-Key","1276-1066-1-ND","1u"
"","","C24","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C25","1u","KD_Capacitor:C_0805_1u_X7R_25V","KD_Capacitor:CAPC2012X135N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf","1u","F","CL21B105KAFNNNE","Samsung Electro-Mechanics","0.03","","Digi-Key","1276-1066-1-ND","1u"
"","","C26","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C27","27p","KD_Capacitor:C_0603_27p_NP0_5%_50V","KD_Capacitor:CAPC1608X90N","http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf","","F","0603N270J500CT","Walsin Technology Corporation","0.05","","Digi-Key","1292-1511-1-ND","27p"
"","","C28","1u","KD_Capacitor:C_0805_1u_X7R_25V","KD_Capacitor:CAPC2012X135N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf","1u","F","CL21B105KAFNNNE","Samsung Electro-Mechanics","0.03","","Digi-Key","1276-1066-1-ND","1u"
"","","C29","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C30","27p","KD_Capacitor:C_0603_27p_NP0_5%_50V","KD_Capacitor:CAPC1608X90N","http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf","","F","0603N270J500CT","Walsin Technology Corporation","0.05","","Digi-Key","1292-1511-1-ND","27p"
"","","C31","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C32","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C33","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C34","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
